year,species,prob_exclusion,Omega
2015,BEMA,0.007916673171793724,7.849193823301935e-16
2015,CETE,0.007298287656852479,7.849193823301935e-16
2015,CHFU,0.1173566844759615,7.849193823301935e-16
2015,CHMI,0.04197674295643431,7.849193823301935e-16
2015,HOMA,0.15769088041861296,7.849193823301935e-16
2015,LEMA,0.15315792474265885,7.849193823301935e-16
2015,MEEL,0.07615057144660346,7.849193823301935e-16
2015,MESU,0.0870230462374345,7.849193823301935e-16
2015,PAIN,0.07749576921125946,7.849193823301935e-16
2015,PLCO,0.1139287134659467,7.849193823301935e-16
2015,POMA,0.013026085217278913,7.849193823301935e-16
2015,POMO,0.047283167704428516,7.849193823301935e-16
2015,PUPA,0.0011921283076878973,7.849193823301935e-16
2015,SASO,0.001076730196263691,7.849193823301935e-16
2015,SCLA,0.055066544731051534,7.849193823301935e-16
2015,SOAS,0.028736854648564784,7.849193823301935e-16
2015,SPRU,0.006782253926496691,7.849193823301935e-16
2015,SUSP,0.006840941484670005,7.849193823301935e-16
2016,BEMA,0.1475079678624572,5.301528297224504e-7
2016,CETE,0.11637839718535702,5.301528297224504e-7
2016,HOMA,0.13673677255593292,5.301528297224504e-7
2016,LEMA,0.044585100753958946,5.301528297224504e-7
2016,MEEL,2.7279824600219732e-5,5.301528297224504e-7
2016,MESU,0.19648724785723282,5.301528297224504e-7
2016,PAIN,7.211589425723476e-4,5.301528297224504e-7
2016,PLCO,0.08641606884723002,5.301528297224504e-7
2016,POMA,0.03537348679328102,5.301528297224504e-7
2016,POMO,0.03515234262022634,5.301528297224504e-7
2016,PUPA,0.0583608273814843,5.301528297224504e-7
2016,SASO,0.03780970095523885,5.301528297224504e-7
2016,SCLA,0.05385225439151782,5.301528297224504e-7
2016,SOAS,0.02708790973137868,5.301528297224504e-7
2016,SPRU,0.02350348429753142,5.301528297224504e-7
2017,BEMA,0.05550817584405785,1.0825455808945097e-8
2017,CETE,0.10316113019055058,1.0825455808945097e-8
2017,CHFU,0.054228384741140855,1.0825455808945097e-8
2017,CHMI,0.06683037557122723,1.0825455808945097e-8
2017,HOMA,0.04935519848246925,1.0825455808945097e-8
2017,LEMA,0.0715334339880468,1.0825455808945097e-8
2017,MEEL,0.03153373384715292,1.0825455808945097e-8
2017,MESU,0.022504325419407827,1.0825455808945097e-8
2017,PAIN,0.046119398299963504,1.0825455808945097e-8
2017,PLCO,0.07028899664939907,1.0825455808945097e-8
2017,POMA,0.07601242130442186,1.0825455808945097e-8
2017,POMO,0.03089672107466792,1.0825455808945097e-8
2017,PUPA,0.03518643090146452,1.0825455808945097e-8
2017,SASO,0.07196126671337756,1.0825455808945097e-8
2017,SCLA,0.1921520115432746,1.0825455808945097e-8
2017,SPRU,0.02272799542937774,1.0825455808945097e-8
2018,BEMA,0.09429806165357407,4.912593895209141e-6
2018,CETE,0.28465177231838135,4.912593895209141e-6
2018,HOMA,0.10965119660952094,4.912593895209141e-6
2018,LEMA,0.04539660254704802,4.912593895209141e-6
2018,PAIN,0.12271309869303576,4.912593895209141e-6
2018,POMA,0.08097669542321917,4.912593895209141e-6
2018,PUPA,0.05306682762765229,4.912593895209141e-6
2018,SASO,0.20924574512756838,4.912593895209141e-6
2019,BEMA,0.05324709625264544,8.662328505605507e-15
2019,CETE,0.0022245174279322735,8.662328505605507e-15
2019,CHFU,0.017642141622308802,8.662328505605507e-15
2019,CHMI,0.3874851252707477,8.662328505605507e-15
2019,HOMA,0.0333335642676029,8.662328505605507e-15
2019,LEMA,0.007678289003912366,8.662328505605507e-15
2019,MEEL,0.10268738698168765,8.662328505605507e-15
2019,MESU,2.6538430100614283e-4,8.662328505605507e-15
2019,PAIN,0.004413790305131284,8.662328505605507e-15
2019,PLCO,0.025518026197861757,8.662328505605507e-15
2019,POMA,0.29278893427785985,8.662328505605507e-15
2019,POMO,0.05424395412257501,8.662328505605507e-15
2019,PUPA,0.0034809423461443396,8.662328505605507e-15
2019,SASO,0.00257409455291107,8.662328505605507e-15
2019,SCLA,0.002252695959719526,8.662328505605507e-15
2019,SOAS,8.807942847371198e-4,8.662328505605507e-15
2019,SPRU,0.009283262825216784,8.662328505605507e-15
2020,BEMA,0.02054406337088314,1.4488428971675158e-17
2020,CETE,2.3306905845351243e-4,1.4488428971675158e-17
2020,CHFU,8.203989358121016e-4,1.4488428971675158e-17
2020,CHMI,0.0014745697934306252,1.4488428971675158e-17
2020,HOMA,0.02469372411289695,1.4488428971675158e-17
2020,LEMA,0.48544169434596895,1.4488428971675158e-17
2020,MESU,0.26294061652909495,1.4488428971675158e-17
2020,PAIN,0.017799297777139882,1.4488428971675158e-17
2020,PLCO,0.0016113886853562295,1.4488428971675158e-17
2020,POMA,0.002894779001156408,1.4488428971675158e-17
2020,POMO,1.325637187050461e-4,1.4488428971675158e-17
2020,PUPA,0.020286149376374282,1.4488428971675158e-17
2020,SASO,1.4904768476084207e-5,1.4488428971675158e-17
2020,SCLA,1.1158402861403529e-4,1.4488428971675158e-17
2020,SOAS,0.004138441941378336,1.4488428971675158e-17
2020,SPRU,0.15686275455625934,1.4488428971675158e-17
2021,BEMA,0.03353255517713061,3.9255591526110346e-14
2021,CETE,0.0637360723083439,3.9255591526110346e-14
2021,CHFU,0.06878534541410314,3.9255591526110346e-14
2021,CHMI,0.006901553267544246,3.9255591526110346e-14
2021,HOMA,0.12975022158286098,3.9255591526110346e-14
2021,LEMA,0.24629140212593312,3.9255591526110346e-14
2021,MEEL,0.01100142503590797,3.9255591526110346e-14
2021,MESU,0.012274511720004088,3.9255591526110346e-14
2021,PAIN,0.047626935000423164,3.9255591526110346e-14
2021,PLCO,0.12305873935302304,3.9255591526110346e-14
2021,POMA,0.05414438233876065,3.9255591526110346e-14
2021,POMO,0.009994501627349306,3.9255591526110346e-14
2021,PUPA,0.0034880018054690557,3.9255591526110346e-14
2021,SASO,0.0015474508784075792,3.9255591526110346e-14
2021,SCLA,0.05415699526660529,3.9255591526110346e-14
2021,SOAS,0.052298697315478135,3.9255591526110346e-14
2021,SPRU,0.08141120978265569,3.9255591526110346e-14
